"car.id","car.type","start_time","end_time","start_gate","end_gate","time_taken"
"20150001060025-421","2","9/1/15 6:00","9/1/15 6:10","entrance4","general-gate5",10
"20150001060025-421","2","9/1/15 6:10","9/1/15 6:22","general-gate5","general-gate2",12
"20150001060025-421","2","9/1/15 6:22","9/1/15 6:25","general-gate2","ranger-stop0",3
"20150001060025-421","2","9/1/15 6:25","9/1/15 6:28","ranger-stop0","ranger-stop2",3
"20150001060025-421","2","9/1/15 6:28","9/1/15 6:31","ranger-stop2","general-gate1",3
"20150001060025-421","2","9/1/15 6:31","9/1/15 6:32","general-gate1","entrance0",1
"20150004100026-651","2","9/4/15 10:00","9/4/15 10:13","entrance1","general-gate7",13
"20150004100026-651","2","9/4/15 10:13","9/4/15 10:19","general-gate7","general-gate4",6
"20150004100026-651","2","9/4/15 10:19","9/4/15 10:32","general-gate4","entrance0",13
"20150004120029-367","2","9/4/15 12:00","9/4/15 12:09","entrance4","general-gate5",9
"20150004120029-367","2","9/4/15 12:09","9/4/15 12:19","general-gate5","general-gate2",10
"20150004120029-367","2","9/4/15 12:19","9/4/15 12:22","general-gate2","ranger-stop0",3
"20150004120029-367","2","9/4/15 12:22","9/4/15 12:25","ranger-stop0","ranger-stop2",3
"20150004120029-367","2","9/4/15 12:25","9/4/15 12:27","ranger-stop2","general-gate1",2
"20150004120029-367","2","9/4/15 12:27","9/4/15 12:37","general-gate1","general-gate4",10
"20150004120029-367","2","9/4/15 12:37","9/4/15 12:44","general-gate4","general-gate7",7
"20150004120029-367","2","9/4/15 12:44","9/4/15 13:00","general-gate7","camping2",16
"20150004120029-367","2","9/4/15 13:00","9/12/15 22:13","camping2","camping2",12073
"20150004120029-367","2","9/12/15 22:13","9/12/15 22:29","camping2","general-gate7",16
"20150004120029-367","2","9/12/15 22:29","9/12/15 22:35","general-gate7","general-gate4",6
"20150004120029-367","2","9/12/15 22:35","9/12/15 22:45","general-gate4","general-gate1",10
"20150004120029-367","2","9/12/15 22:45","9/12/15 22:47","general-gate1","ranger-stop2",2
"20150004120029-367","2","9/12/15 22:47","9/12/15 22:50","ranger-stop2","ranger-stop0",3
"20150004120029-367","2","9/12/15 22:50","9/12/15 22:53","ranger-stop0","general-gate2",3
"20150004120029-367","2","9/12/15 22:53","9/12/15 23:11","general-gate2","entrance2",18
"20150007070026-475","2","9/7/15 19:00","9/7/15 19:12","entrance1","general-gate7",12
"20150007070026-475","2","9/7/15 19:12","9/7/15 19:26","general-gate7","entrance3",14
"20150008010052-816","2","8/8/15 1:00","8/8/15 1:11","entrance4","general-gate5",11
"20150008010052-816","2","8/8/15 1:11","8/8/15 1:24","general-gate5","general-gate2",13
"20150008010052-816","2","8/8/15 1:24","8/8/15 1:27","general-gate2","ranger-stop0",3
"20150008010052-816","2","8/8/15 1:27","8/8/15 1:30","ranger-stop0","ranger-stop2",3
"20150008010052-816","2","8/8/15 1:30","8/8/15 1:33","ranger-stop2","general-gate1",3
"20150008010052-816","2","8/8/15 1:33","8/8/15 1:45","general-gate1","general-gate4",12
"20150008010052-816","2","8/8/15 1:45","8/8/15 1:53","general-gate4","general-gate7",8
"20150008010052-816","2","8/8/15 1:53","8/8/15 2:07","general-gate7","entrance1",14
"20150008060048-631","2","8/8/15 6:00","8/8/15 6:10","entrance4","general-gate5",10
"20150008060048-631","2","8/8/15 6:10","8/8/15 6:21","general-gate5","general-gate2",11
"20150008060048-631","2","8/8/15 6:21","8/8/15 6:24","general-gate2","ranger-stop0",3
"20150008060048-631","2","8/8/15 6:24","8/8/15 6:27","ranger-stop0","ranger-stop2",3
"20150008060048-631","2","8/8/15 6:27","8/8/15 6:30","ranger-stop2","general-gate1",3
"20150008060048-631","2","8/8/15 6:30","8/8/15 6:41","general-gate1","general-gate4",11
"20150008060048-631","2","8/8/15 6:41","8/8/15 6:47","general-gate4","general-gate7",6
"20150008060048-631","2","8/8/15 6:47","8/8/15 7:01","general-gate7","camping3",14
"20150008060048-631","2","8/8/15 7:01","8/8/15 13:00","camping3","camping3",359
"20150008060048-631","2","8/8/15 13:00","8/8/15 13:10","camping3","entrance1",10
"20150008080048-814","2","9/8/15 8:00","9/8/15 8:10","entrance4","general-gate5",10
"20150008080048-814","2","9/8/15 8:10","9/8/15 8:21","general-gate5","general-gate2",11
"20150008080048-814","2","9/8/15 8:21","9/8/15 8:24","general-gate2","ranger-stop0",3
"20150008080048-814","2","9/8/15 8:24","9/8/15 8:27","ranger-stop0","ranger-stop2",3
"20150008080048-814","2","9/8/15 8:27","9/8/15 8:30","ranger-stop2","general-gate1",3
"20150008080048-814","2","9/8/15 8:30","9/8/15 8:40","general-gate1","general-gate4",10
"20150008080048-814","2","9/8/15 8:40","9/8/15 8:47","general-gate4","general-gate7",7
"20150008080048-814","2","9/8/15 8:47","9/8/15 8:57","general-gate7","camping5",10
"20150008080048-814","2","9/8/15 8:57","9/9/15 18:45","camping5","camping5",2028
"20150008080048-814","2","9/9/15 18:45","9/9/15 18:54","camping5","general-gate7",9
"20150008080048-814","2","9/9/15 18:54","9/9/15 19:01","general-gate7","general-gate4",7
"20150008080048-814","2","9/9/15 19:01","9/9/15 19:12","general-gate4","general-gate1",11
"20150008080048-814","2","9/9/15 19:12","9/9/15 19:15","general-gate1","ranger-stop2",3
"20150008080048-814","2","9/9/15 19:15","9/9/15 19:17","ranger-stop2","ranger-stop0",2
"20150008080048-814","2","9/9/15 19:17","9/9/15 19:21","ranger-stop0","general-gate2",4
"20150008080048-814","2","9/9/15 19:21","9/9/15 19:40","general-gate2","entrance2",19
"20150008110047-331","2","11/8/15 23:00","11/8/15 23:11","entrance4","general-gate5",11
"20150008110047-331","2","11/8/15 23:11","11/8/15 23:23","general-gate5","general-gate2",12
"20150008110047-331","2","11/8/15 23:23","11/8/15 23:27","general-gate2","ranger-stop0",4
"20150008110047-331","2","11/8/15 23:27","11/8/15 23:30","ranger-stop0","ranger-stop2",3
"20150008110047-331","2","11/8/15 23:30","11/8/15 23:33","ranger-stop2","general-gate1",3
"20150008110047-331","2","11/8/15 23:33","11/8/15 23:45","general-gate1","general-gate4",12
"20150008110047-331","2","11/8/15 23:45","11/8/15 23:52","general-gate4","general-gate7",7
"20150008110047-331","2","11/8/15 23:52","11/9/15 0:06","general-gate7","entrance1",14
"20150009080021-959","2","11/9/15 20:00","11/9/15 20:15","entrance3","general-gate7",15
"20150009080021-959","2","11/9/15 20:15","11/9/15 20:28","general-gate7","entrance1",13
"20150010040007-631","2","8/10/15 16:00","8/10/15 16:20","entrance3","general-gate1",20
"20150010040007-631","2","8/10/15 16:20","8/10/15 16:23","general-gate1","ranger-stop2",3
"20150010040007-631","2","8/10/15 16:23","8/10/15 16:26","ranger-stop2","ranger-stop0",3
"20150010040007-631","2","8/10/15 16:26","8/10/15 16:29","ranger-stop0","general-gate2",3
"20150010040007-631","2","8/10/15 16:29","8/10/15 16:40","general-gate2","general-gate5",11
"20150010040007-631","2","8/10/15 16:40","8/10/15 16:51","general-gate5","camping6",11
"20150010040007-631","2","8/10/15 16:51","8/11/15 19:18","camping6","camping6",1587
"20150010040007-631","2","8/11/15 19:18","8/11/15 19:21","camping6","entrance4",3
"20150010070052-300","2","9/10/15 7:00","9/10/15 7:10","entrance4","general-gate5",10
"20150010070052-300","2","9/10/15 7:10","9/10/15 7:20","general-gate5","general-gate2",10
"20150010070052-300","2","9/10/15 7:20","9/10/15 7:23","general-gate2","ranger-stop0",3
"20150010070052-300","2","9/10/15 7:23","9/10/15 7:26","ranger-stop0","ranger-stop2",3
