"car.id","car.type","start_time","end_time","start_gate","end_gate","time_taken"
"20150016030059-807","6","10/16/15 3:00","10/16/15 3:10","entrance4","general-gate5",10
"20150016030059-807","6","10/16/15 3:10","10/16/15 3:21","general-gate5","general-gate2",11
"20150016030059-807","6","10/16/15 3:21","10/16/15 3:24","general-gate2","ranger-stop0",3
"20150016030059-807","6","10/16/15 3:24","10/16/15 3:26","ranger-stop0","ranger-stop2",2
"20150016030059-807","6","10/16/15 3:26","10/16/15 3:29","ranger-stop2","general-gate1",3
"20150016030059-807","6","10/16/15 3:29","10/16/15 3:30","general-gate1","entrance0",1
"20150027110055-293","6","8/27/15 11:00","8/27/15 11:18","entrance2","general-gate2",18
"20150027110055-293","6","8/27/15 11:18","8/27/15 11:21","general-gate2","ranger-stop0",3
"20150027110055-293","6","8/27/15 11:21","8/27/15 11:24","ranger-stop0","ranger-stop2",3
"20150027110055-293","6","8/27/15 11:24","8/27/15 11:27","ranger-stop2","general-gate1",3
"20150027110055-293","6","8/27/15 11:27","8/27/15 11:28","general-gate1","entrance0",1
"20150128020107-210","6","9/28/15 2:01","9/28/15 2:20","entrance2","general-gate2",19
"20150128020107-210","6","9/28/15 2:20","9/28/15 2:24","general-gate2","ranger-stop0",4
"20150128020107-210","6","9/28/15 2:24","9/28/15 2:27","ranger-stop0","ranger-stop2",3
"20150128020107-210","6","9/28/15 2:27","9/28/15 2:29","ranger-stop2","general-gate1",2
"20150128020107-210","6","9/28/15 2:29","9/28/15 2:50","general-gate1","entrance3",21
"20150311110338-47","6","9/11/15 23:03","9/11/15 23:12","entrance4","general-gate5",9
"20150311110338-47","6","9/11/15 23:12","9/11/15 23:23","general-gate5","general-gate2",11
"20150311110338-47","6","9/11/15 23:23","9/11/15 23:26","general-gate2","ranger-stop0",3
"20150311110338-47","6","9/11/15 23:26","9/11/15 23:29","ranger-stop0","ranger-stop2",3
"20150311110338-47","6","9/11/15 23:29","9/11/15 23:31","ranger-stop2","general-gate1",2
"20150311110338-47","6","9/11/15 23:31","9/11/15 23:33","general-gate1","entrance0",2
"20150330100356-309","6","9/30/15 10:03","9/30/15 10:22","entrance2","general-gate2",19
"20150330100356-309","6","9/30/15 10:22","9/30/15 10:25","general-gate2","ranger-stop0",3
"20150330100356-309","6","9/30/15 10:25","9/30/15 10:28","ranger-stop0","ranger-stop2",3
"20150330100356-309","6","9/30/15 10:28","9/30/15 10:30","ranger-stop2","general-gate1",2
"20150330100356-309","6","9/30/15 10:30","9/30/15 10:50","general-gate1","entrance3",20
"20150403100428-88","6","10/3/15 22:04","10/3/15 22:06","entrance0","general-gate1",2
"20150403100428-88","6","10/3/15 22:06","10/3/15 22:08","general-gate1","ranger-stop2",2
"20150403100428-88","6","10/3/15 22:08","10/3/15 22:12","ranger-stop2","ranger-stop0",4
"20150403100428-88","6","10/3/15 22:12","10/3/15 22:15","ranger-stop0","general-gate2",3
"20150403100428-88","6","10/3/15 22:15","10/3/15 22:36","general-gate2","entrance2",21
"20150404030444-324","6","10/4/15 15:04","10/4/15 15:14","entrance4","general-gate5",10
"20150404030444-324","6","10/4/15 15:14","10/4/15 15:26","general-gate5","general-gate2",12
"20150404030444-324","6","10/4/15 15:26","10/4/15 15:30","general-gate2","ranger-stop0",4
